RITO	4.20
RIVA	6.09
ROMANZO	5.75
ROSPO	6.89
ROVO	3.86
RUBINETTO	6.45
RUGA	4.66
RUGGINE	6.34
RUMORE	4.59
SABBIA	6.91
SACERDOTE	5.86
SANGUE	6.64
SAPONE	5.57
SATELLITE	5.20
SBORNIA	3.55
SCAFFALE	5.84
SCAFO	4.66
SCANDALO	4.61
SCAPOLO	5.20
SCATOLA	6.70
SCHELETRO	6.11
SCHIAFFO	6.14
SCHIAVO	5.23
SCHIENA	5.09
SCHIUMA	5.75
SCIENZA	2.75
SCIMMIA	6.48
SCIROCCO	5.55
SCIROPPO	4.57
SCORPIONE	5.70
SCRUPOLO	4.14
SCUDO	5.86
SCUOLA	6.32
SECCHIO	6.75
SEDE	4.80
SEDIA	6.59
SEME	6.50
SENO	6.77
SENTIERO	5.86
SERA	5.43
SERGENTE	5.20
SERPENTE	5.86
SETA	6.45
SIGARO	6.77
SILENZIO	4.89
SILLABA	5.32
SIMBOLO	3.16
SINTOMO	4.95
SOFFITTO	6.52
SOGLIOLA	6.70
SONNO	4.68
SORELLA	4.57
SORSO	5.68
SPADA	6.43
SPECCHIO	6.25
SPIAGGIA	6.39
SPIEDO	5.59
SPIGOLO	4.77
SPUGNA	6.70
SQUALO	6.91
STAFFA	6.36
STAGIONE	3.20
STALLA	6.20
STANZA	6.34
STATUA	6.64
STILE	3.80
STOMACO	6.50
STRADA	6.41
STRAGE	3.52
STRATO	3.77
SUGO	6.43
SUOLO	5.09
SUORA	6.20
TALENTO	2.18
TALPA	6.80
TAMBURO	6.70
TANA	6.07
TAPPETO	6.75
TARGA	6.73
TARIFFA	2.93
TARTARUGA	6.48
TASSELLO	6.02
TATTO	4.95
TAVERNA	4.41
TAVOLO	6.61
TELA	5.80
TENEBRA	4.91
TESTA	6.48
TETTO	6.64
TIMONE	6.25
TIPO	4.18
TIRANNO	4.16
TIZIO	4.82
TOPO	6.98
TORDO	6.32
TORO	6.68
TORRE	6.68
TORTA	6.70
TOSSE	4.91
TOVAGLIA	6.23
TRAGEDIA	4.61
TRAPPOLA	3.75
TRAVE	6.41
TREGUA	4.48
TRENO	5.30
TROMBA	5.89
TRONO	5.59
TROTA	6.59
TURNO	4.16
